job_role,skill
Data Scientist,Python
Data Scientist,R
Data Scientist,SQL
Data Scientist,Pandas
Data Scientist,NumPy
Data Scientist,Scikit-learn
Data Scientist,TensorFlow
Data Scientist,PyTorch
Data Scientist,Machine Learning
Data Scientist,Deep Learning
Data Scientist,Statistics
Data Scientist,Probability
Data Scientist,Data Visualization
Data Scientist,Matplotlib
Data Scientist,Seaborn
Data Scientist,Feature Engineering
Data Scientist,Model Evaluation
Data Scientist,Data Cleaning
Data Scientist,Big Data
Data Scientist,Hadoop
Data Scientist,Spark
Data Scientist,Tableau
Data Scientist,Power BI
Data Scientist,NLP
Data Scientist,Time Series Analysis
Data Scientist,A/B Testing
Data Scientist,Git
Data Scientist,Data Wrangling
Data Scientist,Linear Regression
Data Scientist,Logistic Regression

Machine Learning Engineer,Python
Machine Learning Engineer,TensorFlow
Machine Learning Engineer,PyTorch
Machine Learning Engineer,Machine Learning
Machine Learning Engineer,Deep Learning
Machine Learning Engineer,Model Deployment
Machine Learning Engineer,Docker
Machine Learning Engineer,Kubernetes
Machine Learning Engineer,AWS
Machine Learning Engineer,GCP
Machine Learning Engineer,Azure
Machine Learning Engineer,CI/CD
Machine Learning Engineer,Data Pipelines
Machine Learning Engineer,Feature Engineering
Machine Learning Engineer,Model Optimization
Machine Learning Engineer,Neural Networks
Machine Learning Engineer,CNN
Machine Learning Engineer,RNN
Machine Learning Engineer,Transformers
Machine Learning Engineer,MLflow
Machine Learning Engineer,Scikit-learn
Machine Learning Engineer,Data Preprocessing
Machine Learning Engineer,Monitoring
Machine Learning Engineer,Flask
Machine Learning Engineer,FastAPI
Machine Learning Engineer,Git
Machine Learning Engineer,Linux
Machine Learning Engineer,Spark
Machine Learning Engineer,REST API
Machine Learning Engineer,Model Serving

Data Analyst,SQL
Data Analyst,Excel
Data Analyst,Python
Data Analyst,R
Data Analyst,Power BI
Data Analyst,Tableau
Data Analyst,Data Cleaning
Data Analyst,Data Visualization
Data Analyst,Pandas
Data Analyst,NumPy
Data Analyst,Statistics
Data Analyst,Dashboarding
Data Analyst,Data Wrangling
Data Analyst,Google Sheets
Data Analyst,Reporting
Data Analyst,Data Interpretation
Data Analyst,ETL
Data Analyst,Query Optimization
Data Analyst,Data Validation
Data Analyst,Data Mining
Data Analyst,Business Intelligence
Data Analyst,Forecasting
Data Analyst,Regression Analysis
Data Analyst,A/B Testing
Data Analyst,Data Storytelling
Data Analyst,Git
Data Analyst,Data Modeling
Data Analyst,PowerPoint
Data Analyst,Data Governance
Data Analyst,Data Quality

AI Engineer,Python
AI Engineer,Machine Learning
AI Engineer,Deep Learning
AI Engineer,TensorFlow
